experiment,feature_select_config,balance,model_config,model,state,run,acc,recall,precision,auc,f1,selected_features,data_path
exp2,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'forward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'poly', 'max_iter': 3000}",svm_linear,test,1,0.752,0.056,0.083,0.546,0.067,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
exp2,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'forward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'rbf', 'max_iter': 3000}",svm_linear,train,1,0.936,0.995,0.891,0.968,0.94,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
exp2,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'forward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'rbf', 'max_iter': 3000}",svm_linear,test,1,0.752,0.056,0.083,0.547,0.067,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
exp2,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'forward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'sigmoid', 'max_iter': 3000}",svm_linear,train,1,0.936,0.995,0.891,0.968,0.94,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
exp2,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'forward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'sigmoid', 'max_iter': 3000}",svm_linear,test,1,0.752,0.056,0.083,0.546,0.067,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
exp2,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'forward', 'n_neighbors': 5}",smote,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",decision_tree,train,1,0.959,0.997,0.926,0.96,0.96,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
exp2,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'forward', 'n_neighbors': 5}",smote,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",decision_tree,test,1,0.752,0.056,0.083,0.465,0.067,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
exp3,"{'method': 'logistic', 'n_features_to_select': 'auto', 'direction': 'backward', 'max_iter': 1500}",smote,"{'C': 1.0, 'max_iter': 3000}",svm_linear,train,1,0.683,0.859,0.635,0.679,0.731,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp3,"{'method': 'logistic', 'n_features_to_select': 'auto', 'direction': 'backward', 'max_iter': 1500}",smote,"{'C': 1.0, 'max_iter': 3000}",svm_linear,test,1,0.522,0.556,0.179,0.547,0.27,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp3,"{'method': 'logistic', 'n_features_to_select': 'auto', 'direction': 'backward', 'max_iter': 1500}",smote,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",decision_tree,train,1,0.975,0.989,0.961,0.993,0.975,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp3,"{'method': 'logistic', 'n_features_to_select': 'auto', 'direction': 'backward', 'max_iter': 1500}",smote,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",decision_tree,test,1,0.805,0.111,0.25,0.548,0.154,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp4,"{'method': 'linear', 'n_features_to_select': 'auto', 'direction': 'forward'}",smote,"{'C': 1.0, 'max_iter': 3000}",svm_linear,train,1,0.936,0.995,0.891,0.968,0.94,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
exp4,"{'method': 'linear', 'n_features_to_select': 'auto', 'direction': 'forward'}",smote,"{'C': 1.0, 'max_iter': 3000}",svm_linear,test,1,0.752,0.056,0.083,0.546,0.067,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
exp4,"{'method': 'linear', 'n_features_to_select': 'auto', 'direction': 'forward'}",smote,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",decision_tree,train,1,0.959,0.997,0.926,0.96,0.96,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
exp4,"{'method': 'linear', 'n_features_to_select': 'auto', 'direction': 'forward'}",smote,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",decision_tree,test,1,0.752,0.056,0.083,0.465,0.067,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
