fit_time,score_time,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_roc_auc,train_roc_auc
0.11933732032775879,0.026622772216796875,0.94,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6453900709219859,1.0
0.13020706176757812,0.028581619262695312,0.94,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.17730496453900707,1.0
0.13668608665466309,0.023629188537597656,0.92,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.27083333333333337,1.0
0.12819504737854004,0.031662702560424805,0.94,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5104166666666667,1.0
0.14044904708862305,0.03236079216003418,0.9387755102040817,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2765957446808511,1.0
0.13426709175109863,0.02532649040222168,0.9591836734693877,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7021276595744681,1.0
0.11401939392089844,0.028318166732788086,0.9591836734693877,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1595744680851064,1.0
0.1444988250732422,0.026740074157714844,0.9387755102040817,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7872340425531915,1.0
0.15804386138916016,0.04497241973876953,0.9591836734693877,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9361702127659575,1.0
0.14167332649230957,0.030420303344726562,0.3469387755102041,1.0,0.03125,1.0,0.5,1.0,0.058823529411764705,1.0,0.5106382978723405,1.0
