fit_time,score_time,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_roc_auc,train_roc_auc
0.003226041793823242,0.0224151611328125,0.92,0.9594594594594594,0.0,0.5454545454545454,0.0,0.3157894736842105,0.0,0.39999999999999997,0.44680851063829785,0.8605572755417956
0.0034155845642089844,0.022511720657348633,0.94,0.9572072072072072,0.0,0.0,0.0,0.0,0.0,0.0,0.7553191489361701,0.8526934984520124
0.003406047821044922,0.022006988525390625,0.94,0.9594594594594594,0.0,1.0,0.0,0.1,0.0,0.18181818181818182,0.75,0.8284198113207547
0.0031011104583740234,0.02215719223022461,0.96,0.9594594594594594,0.0,1.0,0.0,0.1,0.0,0.18181818181818182,0.7395833333333334,0.8304834905660378
0.0032160282135009766,0.021905899047851562,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.36170212765957444,0.8788235294117647
0.003567218780517578,0.022762298583984375,0.9591836734693877,0.9595505617977528,0.0,1.0,0.0,0.1,0.0,0.18181818181818182,0.5691489361702128,0.8258235294117646
0.0031998157501220703,0.024300813674926758,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.4893617021276596,0.8710588235294118
0.003835916519165039,0.022709131240844727,0.9591836734693877,0.9595505617977528,0.0,1.0,0.0,0.1,0.0,0.18181818181818182,0.8191489361702128,0.8228235294117647
0.0034601688385009766,0.0227816104888916,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.8670212765957447,0.8630000000000001
0.0030434131622314453,0.02347731590270996,0.4897959183673469,0.9595505617977528,0.07407407407407407,1.0,1.0,0.1,0.13793103448275862,0.18181818181818182,0.7340425531914894,0.8328235294117647
