fit_time,score_time,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_roc_auc,train_roc_auc
0.01073598861694336,0.023281574249267578,0.94,0.9572072072072072,0.0,0.0,0.0,0.0,0.0,0.0,0.75177304964539,0.7914551083591331
0.011184930801391602,0.022870540618896484,0.94,0.9572072072072072,0.0,0.0,0.0,0.0,0.0,0.0,0.46099290780141844,0.8395046439628483
0.010866880416870117,0.027014970779418945,0.96,0.954954954954955,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.8343160377358491
0.011135578155517578,0.02549433708190918,0.96,0.954954954954955,0.0,0.0,0.0,0.0,0.0,0.0,0.6770833333333333,0.8468160377358491
0.010653018951416016,0.022876501083374023,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.3085106382978724,0.8824705882352941
0.010398387908935547,0.025153160095214844,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.5531914893617023,0.8349411764705882
0.011568784713745117,0.022609472274780273,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.3404255319148936,0.8936470588235293
0.011187076568603516,0.024111270904541016,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.6382978723404256,0.8345882352941176
0.010687828063964844,0.026208162307739258,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.5638297872340425,0.798
0.009974241256713867,0.024610042572021484,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.8297872340425532,0.8629411764705882
