fit_time,score_time,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_roc_auc,train_roc_auc
0.4745030403137207,0.08770751953125,0.94,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8723404255319149,1.0
0.4484982490539551,0.08712434768676758,0.84,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2836879432624113,1.0
0.445127010345459,0.08538389205932617,0.86,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.28125,1.0
0.4401543140411377,0.08594655990600586,0.94,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6979166666666666,1.0
0.4871695041656494,0.09589576721191406,0.8979591836734694,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.46808510638297873,1.0
0.4963228702545166,0.08639049530029297,0.9795918367346939,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.8617021276595744,1.0
0.428455114364624,0.08457589149475098,0.8367346938775511,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3191489361702128,1.0
0.4413893222808838,0.08675932884216309,0.9387755102040817,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7553191489361702,1.0
0.43847012519836426,0.08794379234313965,0.9591836734693877,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.9787234042553192,1.0
0.47774338722229004,0.0903615951538086,0.7959183673469388,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.43617021276595747,1.0
