fit_time,score_time,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_roc_auc,train_roc_auc
0.26616787910461426,0.029283523559570312,0.94,0.9662162162162162,0.0,1.0,0.0,0.21052631578947367,0.0,0.34782608695652173,0.8368794326241134,0.9708978328173375
0.23334336280822754,0.03636336326599121,0.94,0.9662162162162162,0.0,1.0,0.0,0.21052631578947367,0.0,0.34782608695652173,0.7659574468085106,0.9855108359133127
0.26036763191223145,0.032340049743652344,0.94,0.963963963963964,0.0,1.0,0.0,0.2,0.0,0.33333333333333337,0.6458333333333333,0.9752358490566038
0.3071165084838867,0.042635440826416016,0.96,0.9684684684684685,0.0,1.0,0.0,0.3,0.0,0.4615384615384615,0.7187499999999999,0.9683962264150944
0.28855156898498535,0.032206058502197266,0.9591836734693877,0.9662921348314607,0.0,0.8571428571428571,0.0,0.3,0.0,0.4444444444444444,0.48936170212765956,0.9870588235294118
0.22404050827026367,0.028960704803466797,0.9795918367346939,0.9685393258426966,1.0,1.0,0.5,0.3,0.6666666666666666,0.4615384615384615,0.5425531914893618,0.9852941176470588
0.2363576889038086,0.02695298194885254,0.9387755102040817,0.9640449438202248,0.0,0.8333333333333334,0.0,0.25,0.0,0.3846153846153846,0.2872340425531915,0.9838823529411765
0.2814459800720215,0.029862403869628906,0.9591836734693877,0.9662921348314607,0.0,1.0,0.0,0.25,0.0,0.4,0.8297872340425532,0.9785882352941175
0.2356400489807129,0.029189109802246094,0.9591836734693877,0.9640449438202248,0.5,1.0,0.5,0.2,0.5,0.33333333333333337,0.9255319148936171,0.9848235294117647
0.24034476280212402,0.0326690673828125,0.9795918367346939,0.9640449438202248,1.0,1.0,0.5,0.2,0.6666666666666666,0.33333333333333337,0.7553191489361702,0.9857647058823529
