fit_time,score_time,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_roc_auc,train_roc_auc
0.018804073333740234,0.0265653133392334,0.94,0.9572072072072072,0.0,0.0,0.0,0.0,0.0,0.0,0.6808510638297872,0.7354798761609908
0.017002344131469727,0.025163650512695312,0.94,0.9572072072072072,0.0,0.0,0.0,0.0,0.0,0.0,0.6950354609929078,0.7965325077399381
0.020339488983154297,0.025880813598632812,0.96,0.954954954954955,0.0,0.0,0.0,0.0,0.0,0.0,0.5520833333333333,0.7527122641509435
0.016492128372192383,0.026235342025756836,0.96,0.954954954954955,0.0,0.0,0.0,0.0,0.0,0.0,0.5729166666666667,0.7485849056603774
0.017826080322265625,0.02521371841430664,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.7978723404255319,0.7971764705882353
0.017240047454833984,0.025191068649291992,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.7978723404255319,0.7888235294117647
0.01881265640258789,0.02543044090270996,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.3617021276595745,0.8838823529411765
0.016300439834594727,0.023057937622070312,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.7340425531914894,0.7990588235294117
0.015416860580444336,0.02228569984436035,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.9787234042553192,0.8054117647058823
0.017824649810791016,0.026996850967407227,0.9591836734693877,0.9550561797752809,0.0,0.0,0.0,0.0,0.0,0.0,0.9042553191489362,0.7910588235294117
