Model name,dataset,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1-score_mean,f1-score_std,auc_mean,auc_std
SVM Linear,10-fold,0.6858775510204081,0.11940745617242318,0.024381868131868132,0.046962098512330436,0.13333333333333333,0.2194268628681278,0.038253968253968255,0.06897186137751805,0.4083333333333334,0.2305348857152341
SVM Poly,10-fold,0.9555102040816326,0.008181385784148527,0.0,0.0,0.0,0.0,0.0,0.0,0.7075354609929079,0.1801302978858609
SVM RBF,10-fold,0.9555102040816326,0.008181385784148527,0.0,0.0,0.0,0.0,0.0,0.0,0.5686391843971632,0.1666614287132962
Decision Tree,10-fold,0.9045714285714286,0.14635267336999772,0.007407407407407407,0.02342427896421022,0.1,0.31622776601683794,0.013793103448275862,0.0436176228988742,0.6532136524822695,0.17273318242031946
Random Forest,10-fold,0.9555102040816326,0.008181385784148527,0.0,0.0,0.0,0.0,0.0,0.0,0.690093085106383,0.1554441657111484
AdaBoost,10-fold,0.8988163265306122,0.06197378226016347,0.15,0.3374742788552764,0.1,0.21081851067789198,0.11666666666666665,0.24907235301622102,0.5954343971631206,0.2675746895543467
Gradient Boost,10-fold,0.8842040816326531,0.18917857808684382,0.003125,0.009882117688026186,0.05,0.15811388300841897,0.0058823529411764705,0.018601633295108114,0.49762854609929086,0.2702582317957029
XGBoost,10-fold,0.9555510204081632,0.01571349057092447,0.25,0.42491829279939874,0.15,0.24152294576982397,0.1833333333333333,0.2986595567936802,0.6797207446808511,0.19222752053015066
