iter	Logloss
0	0.6757829394
1	0.6591891153
2	0.6420501709
3	0.6259360177
4	0.6106044224
5	0.595691027
6	0.5864625658
7	0.5789879935
8	0.5713735308
9	0.560458374
10	0.5492030552
11	0.5379294259
12	0.5295722961
13	0.52174857
14	0.5136380877
15	0.5081213815
16	0.5005059923
17	0.4940235683
18	0.485420445
19	0.4785003662
20	0.4714947292
21	0.4634590694
22	0.4555896487
23	0.4513160706
24	0.4461716243
25	0.4384783609
26	0.4345449175
27	0.4294552394
28	0.4241467612
29	0.4190025875
30	0.4134907859
31	0.4112833296
32	0.4040975026
33	0.398541832
34	0.3940893991
35	0.3912330082
36	0.3855987004
37	0.3792834146
38	0.3758674349
39	0.3723892757
40	0.3691705431
41	0.3653235844
42	0.3626392637
43	0.3584005628
44	0.3562112536
45	0.3519838606
46	0.348396492
47	0.3464013236
48	0.3423459734
49	0.339434542
50	0.3352996826
51	0.3317209516
52	0.3273656028
53	0.3235873086
54	0.3202475412
55	0.3167194911
56	0.3131004606
57	0.3106388637
58	0.3065236773
59	0.3034932273
60	0.3018165043
61	0.2992890494
62	0.29658541
63	0.2939203535
64	0.292287881
65	0.2902020591
66	0.2879897799
67	0.2850385393
68	0.2836121695
69	0.2818818229
70	0.2785430363
71	0.2771614892
72	0.2734488351
73	0.2704492841
74	0.2689684732
75	0.2658152989
76	0.2635102136
77	0.2598136902
78	0.2579623631
79	0.256041663
80	0.2536331722
81	0.2520292282
82	0.2493090493
83	0.246560124
84	0.2434991564
85	0.2415721893
86	0.2387272971
87	0.2359705516
88	0.2335543224
89	0.2313349588
90	0.2295010158
91	0.2265121732
92	0.2249026435
93	0.2236708777
94	0.2222446442
95	0.2202965191
96	0.2184900693
97	0.2172737667
98	0.2159762246
99	0.2139682906
100	0.2110137939
101	0.2098523276
102	0.2084614345
103	0.2065028872
104	0.2033918381
105	0.2016325814
106	0.1986107145
107	0.1971955572
108	0.195049027
109	0.1933742251
110	0.1922486714
111	0.1905790057
112	0.1893925531
113	0.1880215509
114	0.1854975564
115	0.1844884872
116	0.1820455006
117	0.1813156128
118	0.1796170507
119	0.1782656806
120	0.1766195161
121	0.1755101204
122	0.1735509327
123	0.171616854
124	0.169294984
125	0.1672671182
126	0.1658346721
127	0.1652727127
128	0.1632608686
129	0.1617563248
130	0.1595076697
131	0.1575362206
132	0.1562746593
133	0.1547627449
134	0.1533367974
135	0.1513871329
136	0.1509269306
137	0.1495911189
138	0.1479307311
139	0.1466265542
140	0.1457336834
141	0.1446362087
142	0.1434192657
143	0.1414522852
144	0.1401348114
145	0.1386137009
146	0.1370546613
147	0.1356545312
148	0.1347291401
149	0.1338831493
150	0.1329119546
151	0.1317794936
152	0.1308501107
153	0.1299836023
154	0.1292251859
155	0.1280563082
156	0.1271044595
157	0.1267971311
158	0.125652068
159	0.1243333817
160	0.1227597645
161	0.1220134054
162	0.1207902908
163	0.1199920927
164	0.1186109679
165	0.1175307955
166	0.1163877623
167	0.1149668694
168	0.1138938904
169	0.1133170673
170	0.1125566891
171	0.1119770527
172	0.1110223906
173	0.1096891948
174	0.1094450269
175	0.1084748949
176	0.1078839643
177	0.1068731717
178	0.1053218773
179	0.1042818138
180	0.1031924384
181	0.1020742348
182	0.1009477615
183	0.1001713821
184	0.09932306835
185	0.09829961232
186	0.09753729956
187	0.09642442976
188	0.09550082343
189	0.09508199692
190	0.09455088888
191	0.09402280535
192	0.09302494867
193	0.09263598578
194	0.09163375582
195	0.09070279258
196	0.08969088963
197	0.08902244568
198	0.08819898878
199	0.08753677096
200	0.08677847726
201	0.08592832429
202	0.08519609315
203	0.08447014264
204	0.0839063985
205	0.08284134865
206	0.08230439595
207	0.08167129244
208	0.08104754857
209	0.08020432336
210	0.0797754424
211	0.07927640506
212	0.07873035158
213	0.0779763358
214	0.07725920677
215	0.07662756784
216	0.07578895433
217	0.07539946692
218	0.07508682523
219	0.07443222318
220	0.07379063198
221	0.07316194262
222	0.0726760728
223	0.07206505367
224	0.0715823991
225	0.07114785739
226	0.07077708926
227	0.07025130136
228	0.06927169391
229	0.06875680515
230	0.06840415682
231	0.06768022265
232	0.06711131505
233	0.06647895404
234	0.06591403144
235	0.06551520484
236	0.06481884548
237	0.06441430364
238	0.06416124616
239	0.06392105647
240	0.06342191696
241	0.06287761416
242	0.0623279844
243	0.06197430747
244	0.06169064386
245	0.06155753817
246	0.06118264879
247	0.06105508804
248	0.06057631629
249	0.06013037137
250	0.0598450252
251	0.05941472054
252	0.0589523656
253	0.05863529614
254	0.05805441311
255	0.05741453171
256	0.05701686655
257	0.05656488623
